MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION,APRUEBO,RECHAZO
1,1,281,98,34.88,ESCUELA BASICA FRONTERIZA,HUARA,SAN LORENZO DE TARAPACA,70,28
2,1,276,102,36.96,ESCUELA BASICA FRONTERIZA,HUARA,SAN LORENZO DE TARAPACA,71,30
3,1,277,99,35.74,ESCUELA BASICA FRONTERIZA,HUARA,SAN LORENZO DE TARAPACA,63,34
4,1,274,89,32.48,ESCUELA BASICA FRONTERIZA,HUARA,SAN LORENZO DE TARAPACA,68,18
1-2,1,415,200,48.19,ESCUELA BASICA DE CHANAVAYITA,IQUIQUE,CHANAVAYITA,174,25
121V,1,250,108,43.2,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,110,48
122V,1,256,113,44.14,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,58,21
123V,1,251,133,52.99,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,50,20
124V,1,259,137,52.9,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,13,64
125V,1,269,123,45.72,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,58,23
126V,1,259,124,47.88,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,69,21
127V,1,260,127,48.85,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,69,21
128V,1,246,134,54.47,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,69,20
129V,1,250,131,52.4,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,68,25
130V,1,242,111,45.87,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,127,51
131V,1,261,128,49.04,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,66,22
132V,1,262,138,52.67,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,76,32
133V,1,238,97,40.76,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,73,27
134V,1,231,109,47.19,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,82,25
135V,1,262,136,51.91,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,69,24
136V,1,252,126,50.0,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,65,23
137V,1,255,124,48.63,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,80,22
